"Submission ID","Respondent ID","Submitted at","Project Title","Project Blurb","CEAN Leads","Partners","Image"
"eqDjDJx","8DNoLl","2025-04-29 05:19:36","The toad containment zone","This project looks to halt the invasion of cane toads across northern Australia and prevent their arrival to 27 million hectares of country, including the entire Pilbara and Gascoyne bioregions.  The project builds off decades of basic ecological work on the behaviour and physiological limits of cane toads. This was supplemented by a suite of simulation modelling of invasions across mapped landscapes to test scenarios.  The project is now in implementation phase and looks to build an ongoing partnership between indigenous landowners (Nyangumarta and Karajarri) and pastoral landholders to deliver the containment zone.  For further information see toadfree.zone.","Ben Phillips, Judy Dunlop","Rangelands NRM, Curtin University, Deakin University, Nyangumarta Warrarn Aboriginal Corporation, Karajarri Traditional Lands Association, Anna Plains Station, Nita Downs Station, Bidyedanga Township, Shamrock Station, Frazier Downs Station, Australian Research Council, WA Department of Jobs Tourism Science and Innovation, BHP Social Investments, WA Department of Water and Environmental Regulation, Pilbara Development Corporation ","https://storage.tally.so/private/IMG_1173.jpeg?id=lA6PLV&accessToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6ImxBNlBMViIsImZvcm1JZCI6Im1Pcnl6WSIsImlhdCI6MTc0ODUxOTEyOH0.X3dpJhTxkTcp_zFBWSy1wlVMH9qZboRah7Jbgp5YddA&signature=28bc23ed9e09bf7ab451c4d294994784cee77aa700b269f51140e02c53a197ba"
"dWNeXYy","Q9eGKk","2025-04-30 06:55:29","Spatial planning for urban biodiversity conservation","This project aims to reduce the complexity of planning for biodiversity during urban development by enabling industry and government to visualise and measure the potential performance of different urban designs. We will create a new open-access online tool to allow spatial planning of urban biodiversity conservation actions. Expected outcomes include enhanced capacity for developers, environmental consultants and local governments to measure potential urban biodiversity outcomes at a range of scales. This should provide significant benefits to human well-being by increasing the efficiency of urban nature conservation and restoration in cities.","Dr Holly Kirk","Australian Research Council, Development WA, Lendlease, WSP Consulting, City of Melbourne, Knox City Council, Josh Byrne Associates","https://storage.tally.so/private/IMG20230520121704.jpg?id=pAB4EB&accessToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6InBBQjRFQiIsImZvcm1JZCI6Im1Pcnl6WSIsImlhdCI6MTc0ODUxOTEyOH0.9Qav9zFLRrahsYYcXhYoFx_vWTCUep2LJuieLkFtE_Y&signature=8085dfa40f9343b8d2451d213a04ac1e35d52d8724c62973736fb550e25213ef"
"QKMlQPA","Q9eGKk","2025-04-30 07:33:35","Superb City Wrens","This urban citizen science project is gathering data on how small urban birds respond to strategic revegetation in the centre of a big city. We are individually marking Superb Fairy-wrens with colour-bands birds to better understand their movement and behaviour in urban landscapes. ","Dr Holly Kirk","City of Melbourne, AAS Future Earth Australia, BirdLife Australia, University of Melbourne","https://storage.tally.so/private/Superb-Fairy-wren-di280-280x200.jpg?id=G1dXzQ&accessToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6IkcxZFh6USIsImZvcm1JZCI6Im1Pcnl6WSIsImlhdCI6MTc0ODUxOTEyOH0.BLE85rClPPYaOd-2zF6f4l1yIa_IlbiXxMn-R8Zw_0w&signature=c8b6c69a7129d6d0e8c1cf5fb1286d7b5e20652215ba57ae0c08a9174e11b264"
"68eq4jP","ARvyg0","2025-05-01 02:45:20","Improving Road Network Operations under Non-recurrent Events","This ARC Linkage Project (LP170100341) is led by a team of researchers with Professor Benchawan Wiwatanapataphee from Curtin University serving as Project Manager and one of the main investigators. The project aims to improve the resilience and efficiency of road network operations during non-recurrent traffic events such as accidents, adverse weather, and infrastructure disruptions.

In partnership with Main Roads Western Australia (MRWA) and Roads and Maritime Services New South Wales (RMS NSW), the project integrates advanced mathematical modeling, fractional differential equations, and machine learning algorithms to develop real-time, data-driven traffic control and prediction strategies.

Under Professor Wiwatanapataphee’s management, the project has delivered significant innovations, including distributionally robust ramp metering systems and predictive freeway traffic control models tailored for high-impact, dynamic conditions. These strategies are informed by rich datasets from government partners and validated through computational simulations and empirical analysis.

The project demonstrates the value of academic-industry collaboration, resulting in both cutting-edge theoretical contributions and practical tools now being considered for operational use by transport authorities. Professor Wiwatanapataphee’s leadership has been critical in coordinating multi-disciplinary teams, reporting milestones, and engaging stakeholders, reinforcing her capacity to lead national-scale, impactful research initiatives.
","B Wiwatanapataphee, YH Wu","Australian Research Council, Main Roads Western Australia, Roads and Maritime Services New South Wales
","https://storage.tally.so/private/LP170100341.png?id=1Klp5M&accessToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6IjFLbHA1TSIsImZvcm1JZCI6Im1Pcnl6WSIsImlhdCI6MTc0ODUxOTEyOH0.z9unKpZsAErpG4nklJ5QbxaKul-GzOXmsJBqmeA-VkA&signature=7bee0c71bde2e64d91d94163975f23cb6d47782c5d3d786319b25c549e873fad"
"GxKMG5o","ARvMeW","2025-05-01 04:42:49","Electrochemical Detection of Gases","This research involves the detection of gases such as oxygen, hydrogen, ammonia, sulphur dioxide, hydrogen sulphide, chlorine, ethylene, methylamine using electrochemical methods on miniaturised electrodes. The main focus is on developing the materials for the electrode and electrolyte to detect these gases at analytically relevant levels, primarily for workplace safety applications. Ionic liquids and poly(ionic liquids) are exploited as electrolytes.","Debbie Silvester-Dean","Sensirion","https://storage.tally.so/private/Screenshot-2025-05-01-at-12.41.34-pm.png?id=jMyEVJ&accessToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6ImpNeUVWSiIsImZvcm1JZCI6Im1Pcnl6WSIsImlhdCI6MTc0ODUxOTEyOH0.tthZSB_kg0r6eGuTkielE_HUDS82AU2UybXScsjL0S0&signature=e30562cd1af0b6e12802c40ac075007d8b87c384785bca3d8dd9cb705b65833f"
"KYeX9Pg","ARvMeW","2025-05-01 04:51:59","Electrochemical Sensing of Explosives","This project focusses on the electrochemical detection of explosive compounds, such as TNT, DNT, RDX, HMX, PETN, tetryl, for forensic, security and industrial safety applications. Miniaturised electrodes with specially designed materials are used to target the explosives to enable their detection. TNT has been detected both dissolved in water samples, and in solid form on surfaces, using polymer films with specially designed characteristics. This is a rapid, low-cost way to detect explosives onsite, without the need to take samples back to the lab for analysis.","Debbie Silvester-Dean","Australian Research Council","https://storage.tally.so/private/Screenshot-2025-05-01-at-12.44.01-pm.png?id=pAK5bb&accessToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6InBBSzViYiIsImZvcm1JZCI6Im1Pcnl6WSIsImlhdCI6MTc0ODUxOTEyOH0.DIqisnx7MnUWnTGGf8VhI6mEJ5EpQyuzgEhsASfCq9g&signature=998a24619d7e74fa30a1e62d79f8f99d06de78fcf8c45637aa9dbf9d5dd5a948"
"WOr44EN","ARvMeW","2025-05-01 04:59:22","Gelled electrolyte for affordable, real-time water contamination sensing","We have developed a gel that can be used together with commercially available miniaturised electrodes to detect water contaminants instantly without the need for expensive, time consuming, and complex lab-based tests. Our novel electrolyte gel is based on ionic liquids and poly(ionic liquids) and uses electrochemical techniques for the detection. In combination with commercially available disposable “test-strips” (thin-film electrodes), we plan to create energy-efficient and battery-operated sensors for water testing which are well-suited for remote or off-grid environments due to their portability and robustness. ","Debbie Silvester-Dean, Elena Gorenskaia","Australian Research Council","https://storage.tally.so/private/Screenshot-2025-05-01-at-12.44.13-pm.png?id=2keVKb&accessToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6IjJrZVZLYiIsImZvcm1JZCI6Im1Pcnl6WSIsImlhdCI6MTc0ODUxOTEyOH0.7ODQCOZcIcAGgyL1uxNfcrpZIHhD437NU3gCTq6zfM0&signature=2dbe86b3de94fd4860f43b764a35ddbe8cc5628804005f270026dbd4f70c0501"
"PdDMb7d","l2NKDX","2025-05-02 02:58:49","Analytics for the Australian Grains Industry","Analytics for the Australian Grains Industry (AAGI) is a five-year strategic partnership aimed at harnessing analytics to drive the sector’s profitability and global competitiveness.

AAGI’s mission is to use analytics on grains data to help Australian grain growers to be more profitable and globally competitive through:

* Supporting GRDC’s RD&E portfolio with good, efficient, analytics;
* Doing more upskilling of the grains RD&E workforce;
* Giving grains RD&E more analytics options;
* Investing more in high-priority analytics research;
* Attracting more co-investment and/or revenue to support grains RD&E analytics.

The initiative will deliver grower-facing analytics technologies and improve RD&E outcomes through five work programs:

* Support
* Services
* Consultancy
* Research & Development
* Upskilling & Awareness.","Adam H. Sparks","Grains Research and Development Corporation, The University of Queensland, University of Adelaide","https://storage.tally.so/private/AAGI-GitHub-Social-Preview.png?id=PEArEx&accessToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6IlBFQXJFeCIsImZvcm1JZCI6Im1Pcnl6WSIsImlhdCI6MTc0ODUxOTEyOH0.llx0BdI9Qs1sH49tWCzcGU0Mgbvp0Qx9lTOWbdhpw-E&signature=95a490d4b8181fd7bd5559800e6f4e9ba245abae57b1f7de05bbd0e72bb4a20e"
"7RbBMK2","l2NKDX","2025-05-02 03:09:29","WA Farm Data Sharing Project","This project aims to help growers make more sophisticated investment decisions using their farm data. Initially, the model will assess an optimal liming strategy, however could later be adapted to soil amelioration investments,  insurance evaluations,  property valuations or securing banking loans.

A Food Agility CRC  funded project delivered in collaboration with DPIRD, Curtin University and GGA, the project development was guided by consultation with grower groups, growers, agronomists, farm consultants, agtech and data providers over 10 months. 

The project is developing a data transfer infrastructure leveraging DPIRD’s eConnect platform. It will seamlessly transfer data from the growers’ farm management software to the model and then return it to the grower using APIs.

A whole of farm Monte Carlo simulation model has been created that ingests farm management records and generates thousands of scenarios allowing the model to account for seasonal variability in weather and commodity prices. This provides certainty regarding the optimal strategy and the risks associated with it.

Adam led this work while working at DPIRD prior to joining Curtin in 2024.","Adam H. Sparks","Department of Primary Industries and Regional Development of Western Australia, Grower Group Alliance, Curtin University, AxisTech, Food Agility CRC","https://storage.tally.so/private/WA-Soil-pH.png?id=vBNz68&accessToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6InZCTno2OCIsImZvcm1JZCI6Im1Pcnl6WSIsImlhdCI6MTc0ODUxOTEyOH0.4wRx4HlbjcU9Ltmu4J3P6pXQuzoFwgX_gxfrc7Xf2SU&signature=2c0143cfec46f9b48ca56a4e11e0aa49dffa4203021983b2288e1a66bea96c1d"
"2EBqR4A","l2NKDX","2025-05-02 03:26:38","SPIChanges","SPIChanges is an R package designed to improve the interpretation of the Standardized Precipitation index (SPI) under changing climate conditions.

Basic Description

The {SPIChanges} package was created to detect changes in rainfall patterns and quantify how they affect the probability of a drought event, quantified by the SPI (Mckee et al. 1993), occurring. The package applies a nonstationary approach proposed by Blain et al. (2022), designed to isolate the effect of such changes on the central tendency and dispersion of the SPI frequency distributions.

The package depends on R (>= 2.10) and imports the following packages: {lubridate}, {zoo}, {gamlss}, {gamlss.dist}, {stats}, {spsUtil}, {rlang}, {brglm2}, and {MuMIn}.

https://github.com/gabrielblain/SPIChanges","Adam H. Sparks","Gabriel Blain, Graciela R. Sobierajski, Leticia L. Martins","https://storage.tally.so/private/spichanges.png?id=zzKboR&accessToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6Inp6S2JvUiIsImZvcm1JZCI6Im1Pcnl6WSIsImlhdCI6MTc0ODUxOTEyOH0.rABbvnIGGE5Du1aPnR4HV9jJsV9PtPXpCUrJ0SIgR0E&signature=3534b73c989f2b0b78a63b92d94764e983a17a1f8c0cd3d84606e0716d9a595e"
